,track_id,song_id,artist_id,artist_name,song_title,genre,dot_match_1,dot_score_1,dot_match_2,dot_score_2,dot_match_3,dot_score_3,cov_match_1,cov_score_1,cov_match_2,cov_score_2,cov_match_3,cov_score_3,corr_match_1,corr_score_1,corr_match_2,corr_score_2,corr_match_3,corr_score_3,cossim_match_1,cossim_score_1,cossim_match_2,cossim_score_2,cossim_match_3,cossim_score_3
0,TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,Interlude 5,3570.0,I'm A Winner (Amended Album Version),2865.0,Hot N Cold (Innerpartysystem Main),2436.0,Interlude 5,4.138199999999999,I'm A Winner (Amended Album Version),3.3693093750000003,Hot N Cold (Innerpartysystem Main),2.95577343750001,You're All The World To Me,0.7336968310393809,You're The Top,0.7271838626050462,You're A Soldier,0.6887269177639563,You're All The World To Me,0.73913808345401,You're The Top,0.7316274421252662,You're A Soldier,0.694669413787504
1,TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3132.0,Interlude 5,3012.0,I Mean (I Don't Mean It),2988.0,I Mean (I Don't Mean It),3.50526874999999,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3.461068749999997,8 Mile,3.3624312500000086,Plastic World,0.6568703206763483,The Ups And Downs,0.6411269509265004,Keep Moving,0.6134740359507672,Plastic World,0.6692922727596603,The Ups And Downs,0.6557604034160445,Keep Moving,0.6349611011001333
2,TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,Interlude 5,4597.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),3722.0,I'm A Winner (Amended Album Version),3671.0,Interlude 5,5.327649999999998,I'm A Winner (Amended Album Version),4.315181249999995,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),4.302434374999995,Preacher On A Sunday Morning,0.6669323712356535,Ready For The Weekend,0.6648010039503683,Beyond Salvation,0.6619949063669038,Preacher On A Sunday Morning,0.6782620363865318,Ready For The Weekend,0.6750246601106777,Beyond Salvation,0.6703596100206974
3,TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,Interlude 5,5557.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),4567.0,I Want You,4088.0,Interlude 5,6.364350000000007,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),5.2221203124999995,I Want You,4.896135937499989,All I Do,0.6579208891618389,Overjoyed,0.6397699791344678,Day And Night,0.6306836382560363,All I Do,0.667718031491555,Overjoyed,0.6534939234987447,Day And Night,0.6430239888722205
4,TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,Interlude 5,6673.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),5569.0,I'm A Winner (Amended Album Version),5237.0,Interlude 5,7.593749999999982,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),6.336132812500019,I'm A Winner (Amended Album Version),6.0577343750000034,Hook,0.7430112475755696,I Don't Want To Talk About It,0.742834840746948,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),0.7416846726916941,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),0.758552189169887,Hook,0.756381455883275,I Don't Want To Talk About It,0.7561220426091677
5,TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,Interlude 5,8789.0,I'm A Winner (Amended Album Version),7434.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),7016.0,Interlude 5,10.091550000000014,I'm A Winner (Amended Album Version),8.707784374999983,I Want You,8.426173437499976,G Up,0.8027120628514688,Club Megamix,0.7988456432230557,Hook,0.7916165377099591,G Up,0.8100800277820065,Club Megamix,0.8097786208426687,Hook,0.8019385595698869
6,TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,Interlude 5,2328.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2215.0,8 Mile,1918.0,Interlude 5,2.6109999999999984,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),2.5187031250000014,8 Mile,2.2087968749999995,Runaway,0.703824987969548,The Car Song,0.6949109189982319,I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,0.6864159482424174,Runaway,0.7156599537949512,The Car Song,0.7093541132995728,I Don't Have Time To Stand Here With You Fighting About The Size Of My Dick,0.7006955849653108
7,TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,Interlude 5,1913.0,I'm A Winner (Amended Album Version),1790.0,Man In The Mirror,1585.0,Interlude 5,2.1888499999999995,I'm A Winner (Amended Album Version),2.105225000000002,Man In The Mirror,1.807725000000003,Bad Tattoo,0.6446113692397293,Dimples,0.6116015460079236,Only You,0.6044967567223934,Bad Tattoo,0.6552596777324119,Dimples,0.6187185674368255,Only You,0.6164341452711488
8,TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,Interlude 5,1486.0,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),1480.0,I Mean (I Don't Mean It),1471.0,I Mean (I Don't Mean It),1.7725562500000054,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),1.7192062499999985,I Wanna Know,1.7113250000000066,I Don't Know Where I'm Bound,0.7786412276587289,I Am Not A Whore,0.7519388605715477,16,0.7472018993356718,I Don't Know Where I'm Bound,0.7834660807446496,I Am Not A Whore,0.7553117160686514,16,0.7532525144739896
9,TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,Interlude 5,2681.0,I'm A Winner (Amended Album Version),1936.0,Man In The Mirror,1542.0,Interlude 5,2.9533499999999986,I'm A Winner (Amended Album Version),2.159959375000001,My Darling,1.6401984375000007,Give Me You,0.4733953967025422,The Stranger Song,0.47191782769568896,New Project,0.470474472286763,The Stranger Song,0.4971205446381256,Give Me You,0.4888152706435525,New Project,0.4878990560684231
